rank,item,repo_name,stars,forks,language,repo_url,username,issues,last_commit,description
1,top-100-stars,build-your-own-x,447511,41977,Markdown,https://github.com/codecrafters-io/build-your-own-x,codecrafters-io,243,2025-10-10T18:45:01Z,Master programming by recreating your favorite technologies from scratch.
2,top-100-stars,freeCodeCamp,434388,42725,TypeScript,https://github.com/freeCodeCamp/freeCodeCamp,freeCodeCamp,198,2025-12-08T21:39:56Z,"freeCodeCamp.org's open-source codebase and curriculum. Learn math, programming, and computer science for free."
3,top-100-stars,awesome,421064,32539,,https://github.com/sindresorhus/awesome,sindresorhus,16,2025-11-22T10:35:27Z,😎 Awesome lists about all kinds of interesting topics
4,top-100-stars,public-apis,383238,40901,Python,https://github.com/public-apis/public-apis,public-apis,2,2025-11-04T18:29:01Z,A collective list of free APIs
5,top-100-stars,free-programming-books,378524,65608,Python,https://github.com/EbookFoundation/free-programming-books,EbookFoundation,41,2025-12-07T13:08:39Z,:books: Freely available programming books
6,top-100-stars,developer-roadmap,345075,43480,TypeScript,https://github.com/kamranahmedse/developer-roadmap,kamranahmedse,52,2025-12-07T13:53:10Z,"Interactive roadmaps, guides and other educational content to help developers grow in their careers."
7,top-100-stars,coding-interview-university,334522,81414,,https://github.com/jwasham/coding-interview-university,jwasham,70,2025-08-28T14:42:47Z,A complete computer science study plan to become a software engineer.
8,top-100-stars,system-design-primer,328876,53578,Python,https://github.com/donnemartin/system-design-primer,donnemartin,242,2025-11-03T12:06:22Z,Learn how to design large-scale systems. Prep for the system design interview.  Includes Anki flashcards.
9,top-100-stars,996.ICU,274983,21007,,https://github.com/996icu/996.ICU,996icu,0,2025-08-22T06:01:29Z,Repo for counting stars and contributing. Press F to pay respect to glorious developers.
10,top-100-stars,awesome-python,273020,26874,Python,https://github.com/vinta/awesome-python,vinta,0,2025-11-20T09:45:51Z,"An opinionated list of awesome Python frameworks, libraries, software and resources."
11,top-100-stars,awesome-selfhosted,262120,12049,,https://github.com/awesome-selfhosted/awesome-selfhosted,awesome-selfhosted,0,2025-12-08T17:11:36Z,A list of Free Software network services and web applications which can be hosted on your own servers
12,top-100-stars,project-based-learning,252139,32959,,https://github.com/practical-tutorials/project-based-learning,practical-tutorials,144,2024-08-15T05:33:54Z,Curated list of project-based tutorials
13,top-100-stars,react,241413,50038,JavaScript,https://github.com/facebook/react,facebook,853,2025-12-09T00:20:16Z,The library for web and native user interfaces.
14,top-100-stars,Python,214560,49568,Python,https://github.com/TheAlgorithms/Python,TheAlgorithms,148,2025-12-01T21:08:50Z,All Algorithms implemented in Python
15,top-100-stars,linux,210042,58701,C,https://github.com/torvalds/linux,torvalds,0,2025-12-09T00:13:27Z,Linux kernel source tree
16,top-100-stars,vue,209745,33804,TypeScript,https://github.com/vuejs/vue,vuejs,356,2024-10-10T07:24:15Z,"This is the repo for Vue 2. For Vue 3, go to https://github.com/vuejs/core"
17,top-100-stars,computer-science,198852,24752,HTML,https://github.com/ossu/computer-science,ossu,18,2025-08-23T18:48:52Z,🎓 Path to a free self-taught education in Computer Science!
18,top-100-stars,the-book-of-secret-knowledge,197264,12045,,https://github.com/trimstray/the-book-of-secret-knowledge,trimstray,0,2024-11-19T14:00:38Z,"A collection of inspiring lists, manuals, cheatsheets, blogs, hacks, one-liners, cli/web tools and more."
